t,ax,ay,az 
1.5606938355775E13,-0.68478394,3.1710968,9.62468
1.5606943391175E13,-0.7245941,3.0948944,9.739304
1.5606948426575E13,-0.6726074,3.0074615,9.885864
1.5606953461976E13,-0.6900177,2.9317322,9.959747
1.5606958497376E13,-0.65515137,2.9138184,9.969589
1.5606963532777E13,-0.6074066,2.890396,10.028168
1.5606968568177E13,-0.6139679,2.9671936,9.887665
1.5606973603577E13,-0.5865936,3.0019836,9.846359
1.5606978638978E13,-0.59573364,3.0395966,9.781097
1.5606983674378E13,-0.5486145,3.0571747,9.736694
1.5606988709779E13,-0.5273285,3.070877,9.714401
1.5606993745179E13,-0.5553131,3.0334625,9.64415
1.5606998780579E13,-0.60562134,2.9602966,9.569305
1.560700381598E13,-0.6814575,2.9056091,9.520981
1.560700885138E13,-0.7618561,2.8308258,9.481186
1.5607013886781E13,-0.87934875,2.7897186,9.386871
1.5607018922181E13,-0.9053345,2.8032227,9.3983
1.5607023957581E13,-0.89224243,2.884781,9.427536
1.5607028992982E13,-0.8831024,2.957901,9.642624
1.5607034028382E13,-0.7996826,3.0445404,9.798157
1.5607039063782E13,-0.7060852,3.1082458,9.916077
1.5607044099183E13,-0.6294708,3.1034393,10.076263
1.5607049134583E13,-0.6295166,3.0494537,10.173553
1.5607054169984E13,-0.6555481,2.9617462,10.157181
1.5607059205384E13,-0.721756,2.8760986,10.022675
1.5607064240784E13,-0.78778076,2.85083,9.8550415
1.5607069276185E13,-0.8309326,2.8679047,9.715134
1.5607074311585E13,-0.87965393,2.9339294,9.585281
1.5607079346986E13,-0.89704895,2.9891052,9.642746
1.5607084382386E13,-0.9337616,3.0225677,9.853928
1.5607089417786E13,-0.93006897,2.9946747,10.059311
1.5607094453187E13,-0.86865234,2.9354248,10.220963
1.5607099488587E13,-0.83032227,2.850006,10.358719
1.5607104523988E13,-0.8697052,2.7279663,10.440201
1.5607109559388E13,-0.90859985,2.6755219,10.326706
1.5607114594788E13,-0.9192047,2.7035828,10.08194
1.5607119630189E13,-0.9497986,2.7228699,9.891693
1.5607124665589E13,-1.017746,2.7709656,9.836548
1.560712970099E13,-1.054306,2.8339844,9.912064
1.560713473639E13,-1.0048523,2.9196167,10.023514
1.560713977179E13,-0.9064026,2.9383698,10.19043
1.5607144807191E13,-0.82821655,2.9349213,10.401611
1.5607149842591E13,-0.7473755,2.926651,10.533768
1.5607154877991E13,-0.68573,2.929123,10.566879
1.5607159913392E13,-0.67871094,2.8957214,10.476227
1.5607164948792E13,-0.65792847,2.9271088,10.324478
1.5607169984193E13,-0.6517639,2.9628906,10.089371
1.5607175019593E13,-0.6996918,3.0282898,9.878204
1.5607180054993E13,-0.73324585,3.1063385,9.853516
1.5607185090394E13,-0.764801,3.115036,9.967987
1.5607190125794E13,-0.8283386,3.1081238,10.102493
1.5607195161195E13,-0.8395386,3.0120392,10.154236
1.5607200196595E13,-0.86035156,2.8859558,10.219116
1.5607205231995E13,-0.9688873,2.7342377,10.295395
1.5607210267396E13,-1.0805359,2.6727905,10.313675
1.5607215302796E13,-1.1343689,2.5469513,10.328217
1.5607220338197E13,-1.0993652,2.3976288,10.45285
1.5607225373597E13,-1.0096436,2.308075,10.714142
1.5607230408997E13,-0.84820557,2.2261505,11.030167
1.5607235444398E13,-0.69633484,2.157074,11.348022
1.5607240479798E13,-0.558136,2.1885376,11.614334
1.5607245515199E13,-0.41271973,2.220337,11.626526
1.5607250550599E13,-0.2916565,2.2818756,11.496536
1.5607255585999E13,-0.19889832,2.3780975,11.28952
1.56072606214E13,-0.17712402,2.4168243,10.841293
1.56072656568E13,-0.21002197,2.4258118,10.5399475
1.56072706922E13,-0.19906616,2.3970184,10.361374
1.5607275727601E13,-0.21916199,2.3122253,10.20517
1.5607280763001E13,-0.25,2.2255096,10.16449
1.5607285798402E13,-0.18379211,2.1175232,10.217148
1.5607290833802E13,-0.092422485,2.099121,10.386673
1.5607295869202E13,-0.037246704,2.1131287,10.738388
1.5607300904603E13,-0.057495117,2.1259613,11.125168
1.5607305940003E13,-0.014755249,2.1555939,11.479584
1.5607310975404E13,0.017745972,2.090393,11.970551
1.5607316010804E13,-0.013458252,2.0257416,12.258759
1.5607321046204E13,-0.015731812,1.889801,12.528778
1.5607326081605E13,-0.0027770996,1.7404633,12.679428
1.5607331117005E13,0.002090454,1.5663452,12.627121
1.5607336152406E13,-0.071899414,1.4391022,12.418472
1.5607341187806E13,-0.11871338,1.3391724,12.0408325
1.5607346223206E13,-0.16215515,1.2824554,11.633041
1.5607351258607E13,-0.21644592,1.2575989,11.129837
1.5607356294007E13,-0.31333923,1.2317657,10.6662445
1.5607361329407E13,-0.3671112,1.195755,10.236679
1.5607366364808E13,-0.3577881,1.1438446,9.94278
1.5607371400208E13,-0.31097412,1.1603088,9.733826
1.5607376435609E13,-0.20230103,1.2117004,9.48793
1.5607381471009E13,-0.11854553,1.271637,9.233032
1.5607386506409E13,-0.038238525,1.3804321,8.952499
1.560739154181E13,0.026657104,1.4853821,8.718231
1.560739657721E13,0.15109253,1.6396942,8.553879
1.5607401612611E13,0.3511963,1.7342377,8.437897
1.5607406648011E13,0.50775146,1.7941742,8.314423
1.5607411683411E13,0.6564789,1.8695526,8.232132
1.5607416718812E13,0.8117676,1.9450378,8.251831
1.5607421754212E13,0.9530945,1.9888763,8.408966
