t,wx,wy,wz,wdx,wdy,wdz 
1.5122618417605E13,0.019546509,0.03250122,0.032333374,0.021362308,0.031799316,0.032073975
1.5122623453006E13,0.020385742,0.03164673,0.032333374,0.021362308,0.031799316,0.032073975
1.5122628488406E13,0.021484375,0.030548096,0.033218384,0.021362308,0.031799316,0.032073975
1.5122633523806E13,0.019882202,0.03125,0.03251648,0.021362308,0.031799316,0.032073975
1.5122638559207E13,0.020446777,0.032333374,0.030517578,0.021362308,0.031799316,0.032073975
1.5122643594607E13,0.020614624,0.033416748,0.030197144,0.021362308,0.031799316,0.032073975
1.5122648630008E13,0.019729614,0.032684326,0.030197144,0.021362308,0.031799316,0.032073975
1.5122653665408E13,0.020492554,0.031539917,0.032104492,0.021362308,0.031799316,0.032073975
1.5122658700808E13,0.021575928,0.03239441,0.03427124,0.021362308,0.031799316,0.032073975
1.5122663736209E13,0.019714355,0.03250122,0.03251648,0.021362308,0.031799316,0.032073975
1.5122668771609E13,0.02053833,0.03250122,0.031341553,0.021362308,0.031799316,0.032073975
1.5122673807009E13,0.019592285,0.03250122,0.032287598,0.021362308,0.031799316,0.032073975
1.512267884241E13,0.019546509,0.031539917,0.032333374,0.021362308,0.031799316,0.032073975
1.512268387781E13,0.020584106,0.030380249,0.031295776,0.021362308,0.031799316,0.032073975
1.5122688913211E13,0.018493652,0.032470703,0.03126526,0.021362308,0.031799316,0.032073975
1.5122693948611E13,0.019546509,0.03250122,0.03126526,0.021362308,0.031799316,0.032073975
1.5122698984011E13,0.018478394,0.03250122,0.030197144,0.021362308,0.031799316,0.032073975
1.5122704019412E13,0.018478394,0.032470703,0.030258179,0.021362308,0.031799316,0.032073975
1.5122709054812E13,0.018478394,0.031463623,0.03227234,0.021362308,0.031799316,0.032073975
1.5122714090213E13,0.019546509,0.03147888,0.03340149,0.021362308,0.031799316,0.032073975
1.5122719125613E13,0.019546509,0.03250122,0.033340454,0.021362308,0.031799316,0.032073975
1.5122724161013E13,0.019546509,0.03250122,0.032165527,0.021362308,0.031799316,0.032073975
1.5122729196414E13,0.019546509,0.03239441,0.030395508,0.021362308,0.031799316,0.032073975
1.5122734231814E13,0.019546509,0.03152466,0.03224182,0.021362308,0.031799316,0.032073975
1.5122739267215E13,0.019546509,0.03250122,0.031219482,0.021362308,0.031799316,0.032073975
1.5122744302615E13,0.019683838,0.03250122,0.030349731,0.021362308,0.031799316,0.032073975
1.5122749338015E13,0.02029419,0.03250122,0.031433105,0.021362308,0.031799316,0.032073975
1.5122754373416E13,0.01864624,0.032318115,0.03251648,0.021362308,0.031799316,0.032073975
1.5122759408816E13,0.019546509,0.031234741,0.03340149,0.021362308,0.031799316,0.032073975
1.5122764444217E13,0.019348145,0.030731201,0.033599854,0.021362308,0.031799316,0.032073975
1.5122769479617E13,0.018478394,0.03250122,0.034332275,0.021362308,0.031799316,0.032073975
1.5122774515017E13,0.018707275,0.03225708,0.033172607,0.021362308,0.031799316,0.032073975
1.5122779550418E13,0.020019531,0.031661987,0.032333374,0.021362308,0.031799316,0.032073975
1.5122784585818E13,0.02168274,0.03274536,0.032333374,0.021362308,0.031799316,0.032073975
1.5122789621218E13,0.021408081,0.033294678,0.032333374,0.021362308,0.031799316,0.032073975
1.5122794656619E13,0.020339966,0.03250122,0.032073975,0.021362308,0.031799316,0.032073975
1.5122799692019E13,0.019302368,0.03225708,0.030792236,0.021362308,0.031799316,0.032073975
1.512280472742E13,0.018478394,0.031433105,0.030075073,0.021362308,0.031799316,0.032073975
1.512280976282E13,0.0181427,0.031433105,0.032333374,0.021362308,0.031799316,0.032073975
1.512281479822E13,0.018081665,0.0317688,0.032333374,0.021362308,0.031799316,0.032073975
1.5122819833621E13,0.019897461,0.032852173,0.032333374,0.021362308,0.031799316,0.032073975
1.5122824869021E13,0.020263672,0.033569336,0.032684326,0.021362308,0.031799316,0.032073975
1.5122829904422E13,0.019546509,0.033233643,0.03340149,0.021362308,0.031799316,0.032073975
1.5122834939822E13,0.019546509,0.032089233,0.03340149,0.021362308,0.031799316,0.032073975
1.5122839975222E13,0.019546509,0.03100586,0.03340149,0.021362308,0.031799316,0.032073975
1.5122845010623E13,0.019973755,0.031219482,0.03340149,0.021362308,0.031799316,0.032073975
1.5122850046023E13,0.020614624,0.032943726,0.032958984,0.021362308,0.031799316,0.032073975
1.5122855081424E13,0.020614624,0.033569336,0.032333374,0.021362308,0.031799316,0.032073975
1.5122860116824E13,0.020614624,0.033569336,0.03276062,0.021362308,0.031799316,0.032073975
1.5122865152224E13,0.020614624,0.032104492,0.032928467,0.021362308,0.031799316,0.032073975
1.5122870187625E13,0.019607544,0.03036499,0.032333374,0.021362308,0.031799316,0.032073975
1.5122875223025E13,0.018981934,0.03086853,0.032333374,0.021362308,0.031799316,0.032073975
1.5122880258426E13,0.019546509,0.031951904,0.031280518,0.021362308,0.031799316,0.032073975
1.5122885293826E13,0.019546509,0.03250122,0.031219482,0.021362308,0.031799316,0.032073975
1.5122890329226E13,0.020065308,0.03250122,0.03286743,0.021362308,0.031799316,0.032073975
1.5122895364627E13,0.02003479,0.03250122,0.03225708,0.021362308,0.031799316,0.032073975
1.5122900400027E13,0.020126343,0.033081055,0.03186035,0.021362308,0.031799316,0.032073975
1.5122905435427E13,0.01939392,0.032348633,0.032333374,0.021362308,0.031799316,0.032073975
1.5122910470828E13,0.019088745,0.031433105,0.032958984,0.021362308,0.031799316,0.032073975
