t,wx,wy,wz,wdx,wdy,wdz 
1.5396262225583E13,0.023666382,0.03250122,0.030197144,0.021362308,0.031799316,0.032073975
1.5396267260984E13,0.021484375,0.03211975,0.030197144,0.021362308,0.031799316,0.032073975
1.5396272296384E13,0.019638062,0.028518677,0.030197144,0.021362308,0.031799316,0.032073975
1.5396277331784E13,0.020690918,0.0315094,0.030197144,0.021362308,0.031799316,0.032073975
1.5396282367185E13,0.022598267,0.03327942,0.030197144,0.021362308,0.031799316,0.032073975
1.5396287402585E13,0.021530151,0.031433105,0.030349731,0.021362308,0.031799316,0.032073975
1.5396292437986E13,0.02078247,0.031936646,0.031097412,0.021362308,0.031799316,0.032073975
1.5396297473386E13,0.021865845,0.034820557,0.030197144,0.021362308,0.031799316,0.032073975
1.5396302508786E13,0.022369385,0.03475952,0.030395508,0.021362308,0.031799316,0.032073975
1.5396307544187E13,0.020751953,0.03050232,0.03112793,0.021362308,0.031799316,0.032073975
1.5396312579587E13,0.021911621,0.03189087,0.030670166,0.021362308,0.031799316,0.032073975
1.5396317614988E13,0.022247314,0.033569336,0.032333374,0.021362308,0.031799316,0.032073975
1.5396322650388E13,0.020080566,0.03303528,0.032073975,0.021362308,0.031799316,0.032073975
1.5396327685788E13,0.020095825,0.030059814,0.03126526,0.021362308,0.031799316,0.032073975
1.5396332721189E13,0.026168823,0.02557373,0.03152466,0.021362308,0.031799316,0.032073975
1.5396337756589E13,0.029251099,0.023712158,0.032333374,0.021362308,0.031799316,0.032073975
1.539634279199E13,0.024978638,0.023529053,0.03201294,0.021362308,0.031799316,0.032073975
1.539634782739E13,0.022750854,0.027709961,0.03126526,0.021362308,0.031799316,0.032073975
1.539635286279E13,0.022384644,0.035324097,0.03163147,0.021362308,0.031799316,0.032073975
1.5396357898191E13,0.020568848,0.040008545,0.032333374,0.021362308,0.031799316,0.032073975
1.5396362933591E13,0.018478394,0.042114258,0.032333374,0.021362308,0.031799316,0.032073975
1.5396367968992E13,0.018478394,0.042785645,0.032333374,0.021362308,0.031799316,0.032073975
1.5396373004392E13,0.019302368,0.043823242,0.032333374,0.021362308,0.031799316,0.032073975
1.5396378039792E13,0.021453857,0.041900635,0.031921387,0.021362308,0.031799316,0.032073975
1.5396383075193E13,0.02230835,0.039535522,0.03126526,0.021362308,0.031799316,0.032073975
1.5396388110593E13,0.02168274,0.03843689,0.030807495,0.021362308,0.031799316,0.032073975
1.5396393145993E13,0.02079773,0.036071777,0.030639648,0.021362308,0.031799316,0.032073975
1.5396398181394E13,0.019546509,0.03224182,0.030838013,0.021362308,0.031799316,0.032073975
1.5396403216794E13,0.020553589,0.03036499,0.030715942,0.021362308,0.031799316,0.032073975
1.5396408252195E13,0.021148682,0.029830933,0.03126526,0.021362308,0.031799316,0.032073975
1.5396413287595E13,0.01953125,0.029296875,0.03126526,0.021362308,0.031799316,0.032073975
1.5396418322995E13,0.018478394,0.030395508,0.03126526,0.021362308,0.031799316,0.032073975
1.5396423358396E13,0.018478394,0.032470703,0.03074646,0.021362308,0.031799316,0.032073975
1.5396428393796E13,0.019012451,0.032485962,0.03074646,0.021362308,0.031799316,0.032073975
1.5396433429197E13,0.018936157,0.030227661,0.030670166,0.021362308,0.031799316,0.032073975
1.5396438464597E13,0.018478394,0.029891968,0.030197144,0.021362308,0.031799316,0.032073975
1.5396443499997E13,0.019729614,0.02909851,0.030838013,0.021362308,0.031799316,0.032073975
1.5396448535398E13,0.019958496,0.025650024,0.03062439,0.021362308,0.031799316,0.032073975
1.5396453570798E13,0.019546509,0.025161743,0.030807495,0.021362308,0.031799316,0.032073975
1.5396458606199E13,0.02017212,0.027999878,0.03126526,0.021362308,0.031799316,0.032073975
1.5396463641599E13,0.02130127,0.02998352,0.03126526,0.021362308,0.031799316,0.032073975
1.5396468676999E13,0.020965576,0.028945923,0.030563354,0.021362308,0.031799316,0.032073975
1.53964737124E13,0.019882202,0.030380249,0.030197144,0.021362308,0.031799316,0.032073975
1.53964787478E13,0.019546509,0.032165527,0.030944824,0.021362308,0.031799316,0.032073975
1.5396483783201E13,0.019546509,0.031799316,0.03126526,0.021362308,0.031799316,0.032073975
1.5396488818601E13,0.02027893,0.030685425,0.030532837,0.021362308,0.031799316,0.032073975
1.5396493854001E13,0.020614624,0.031143188,0.030197144,0.021362308,0.031799316,0.032073975
1.5396498889402E13,0.020614624,0.030639648,0.030197144,0.021362308,0.031799316,0.032073975
1.5396503924802E13,0.020614624,0.029541016,0.030197144,0.021362308,0.031799316,0.032073975
1.5396508960202E13,0.01977539,0.03012085,0.030197144,0.021362308,0.031799316,0.032073975
1.5396513995603E13,0.021102905,0.031143188,0.030197144,0.021362308,0.031799316,0.032073975
1.5396519031003E13,0.020828247,0.030578613,0.031051636,0.021362308,0.031799316,0.032073975
1.5396524066404E13,0.020614624,0.02947998,0.03215027,0.021362308,0.031799316,0.032073975
1.5396529101804E13,0.020614624,0.031066895,0.031448364,0.021362308,0.031799316,0.032073975
1.5396534137204E13,0.020614624,0.032333374,0.032180786,0.021362308,0.031799316,0.032073975
1.5396539172605E13,0.019683838,0.02973938,0.03050232,0.021362308,0.031799316,0.032073975
1.5396544208005E13,0.019546509,0.028427124,0.031066895,0.021362308,0.031799316,0.032073975
1.5396549243406E13,0.020477295,0.031036377,0.030334473,0.021362308,0.031799316,0.032073975
1.5396554278806E13,0.022537231,0.03239441,0.030197144,0.021362308,0.031799316,0.032073975
1.5396559314206E13,0.02078247,0.030532837,0.031188965,0.021362308,0.031799316,0.032073975
