t,wx,wy,wz,wdx,wdy,wdz 
1.5606515382142E13,-0.074645996,0.070617676,0.23916626,0.021362308,0.031799316,0.032073975
1.5606520417542E13,-0.08874512,0.08068848,0.2321167,0.021362308,0.031799316,0.032073975
1.5606525452943E13,-0.09046936,0.07325745,0.22543335,0.021362308,0.031799316,0.032073975
1.5606530488343E13,-0.09046936,0.05706787,0.21932983,0.021362308,0.031799316,0.032073975
1.5606535523743E13,-0.091430664,0.035720825,0.21627808,0.021362308,0.031799316,0.032073975
1.5606540559144E13,-0.09941101,0.012924194,0.22096252,0.021362308,0.031799316,0.032073975
1.5606545594544E13,-0.11402893,-0.00579834,0.22737122,0.021362308,0.031799316,0.032073975
1.5606550629945E13,-0.13421631,-0.0231781,0.23284912,0.021362308,0.031799316,0.032073975
1.5606555665345E13,-0.15270996,-0.037399292,0.24029541,0.021362308,0.031799316,0.032073975
1.5606560700745E13,-0.16506958,-0.04763794,0.24447632,0.021362308,0.031799316,0.032073975
1.5606565736146E13,-0.16947937,-0.043411255,0.2448883,0.021362308,0.031799316,0.032073975
1.5606570771546E13,-0.16622925,-0.022827148,0.24057007,0.021362308,0.031799316,0.032073975
1.5606575806947E13,-0.15324402,0.012924194,0.23303223,0.021362308,0.031799316,0.032073975
1.5606580842347E13,-0.13908386,0.05303955,0.22666931,0.021362308,0.031799316,0.032073975
1.5606585877747E13,-0.12184143,0.09614563,0.22489929,0.021362308,0.031799316,0.032073975
1.5606590913148E13,-0.10774231,0.13139343,0.23094177,0.021362308,0.031799316,0.032073975
1.5606595948548E13,-0.09274292,0.16127014,0.24156189,0.021362308,0.031799316,0.032073975
1.5606600983949E13,-0.08105469,0.16667175,0.25306702,0.021362308,0.031799316,0.032073975
1.5606606019349E13,-0.07220459,0.14933777,0.2596283,0.021362308,0.031799316,0.032073975
1.5606611054749E13,-0.072006226,0.123168945,0.25645447,0.021362308,0.031799316,0.032073975
1.560661609015E13,-0.078323364,0.10444641,0.24636841,0.021362308,0.031799316,0.032073975
1.560662112555E13,-0.0834198,0.091278076,0.24151611,0.021362308,0.031799316,0.032073975
1.560662616095E13,-0.08869934,0.07699585,0.23954773,0.021362308,0.031799316,0.032073975
1.5606631196351E13,-0.09046936,0.061782837,0.23916626,0.021362308,0.031799316,0.032073975
1.5606636231751E13,-0.08984375,0.047912598,0.23721313,0.021362308,0.031799316,0.032073975
1.5606641267152E13,-0.086380005,0.04058838,0.23724365,0.021362308,0.031799316,0.032073975
1.5606646302552E13,-0.08190918,0.037139893,0.24215698,0.021362308,0.031799316,0.032073975
1.5606651337952E13,-0.07710266,0.026657104,0.25050354,0.021362308,0.031799316,0.032073975
1.5606656373353E13,-0.07472229,6.713867E-4,0.26467896,0.021362308,0.031799316,0.032073975
1.5606661408753E13,-0.07862854,-0.03312683,0.27238464,0.021362308,0.031799316,0.032073975
1.5606666444154E13,-0.09527588,-0.06600952,0.26893616,0.021362308,0.031799316,0.032073975
1.5606671479554E13,-0.12667847,-0.08854675,0.2576294,0.021362308,0.031799316,0.032073975
1.5606676514954E13,-0.16220093,-0.09312439,0.24110413,0.021362308,0.031799316,0.032073975
1.5606681550355E13,-0.19621277,-0.08557129,0.21855164,0.021362308,0.031799316,0.032073975
1.5606686585755E13,-0.22879028,-0.068862915,0.18954468,0.021362308,0.031799316,0.032073975
1.5606691621156E13,-0.25515747,-0.047424316,0.16169739,0.021362308,0.031799316,0.032073975
1.5606696656556E13,-0.2772827,-0.01940918,0.135849,0.021362308,0.031799316,0.032073975
1.5606701691956E13,-0.2917633,0.013366699,0.11608887,0.021362308,0.031799316,0.032073975
1.5606706727357E13,-0.29847717,0.036453247,0.1065979,0.021362308,0.031799316,0.032073975
1.5606711762757E13,-0.2966919,0.038482666,0.103515625,0.021362308,0.031799316,0.032073975
1.5606716798157E13,-0.28440857,0.01751709,0.1000824,0.021362308,0.031799316,0.032073975
1.5606721833558E13,-0.26724243,-0.0146484375,0.09170532,0.021362308,0.031799316,0.032073975
1.5606726868958E13,-0.24978638,-0.046417236,0.078430176,0.021362308,0.031799316,0.032073975
1.5606731904359E13,-0.23553467,-0.06704712,0.060134888,0.021362308,0.031799316,0.032073975
1.5606736939759E13,-0.22499084,-0.07035828,0.041229248,0.021362308,0.031799316,0.032073975
1.5606741975159E13,-0.21333313,-0.057022095,0.021942139,0.021362308,0.031799316,0.032073975
1.560674701056E13,-0.19702148,-0.031723022,-0.0011291504,0.021362308,0.031799316,0.032073975
1.560675204596E13,-0.17626953,5.0354004E-4,-0.024429321,0.021362308,0.031799316,0.032073975
1.5606757081361E13,-0.15124512,0.043777466,-0.044281006,0.021362308,0.031799316,0.032073975
1.5606762116761E13,-0.12471008,0.09005737,-0.055618286,0.021362308,0.031799316,0.032073975
1.5606767152161E13,-0.09928894,0.12358093,-0.055038452,0.021362308,0.031799316,0.032073975
1.5606772187562E13,-0.07485962,0.13905334,-0.043182373,0.021362308,0.031799316,0.032073975
1.5606777222962E13,-0.05580139,0.13497925,-0.028259277,0.021362308,0.031799316,0.032073975
1.5606782258363E13,-0.046585083,0.11752319,-0.0132751465,0.021362308,0.031799316,0.032073975
1.5606787293763E13,-0.04185486,0.09454346,0.0022735596,0.021362308,0.031799316,0.032073975
1.5606792329163E13,-0.03614807,0.072143555,0.017410278,0.021362308,0.031799316,0.032073975
1.5606797364564E13,-0.02861023,0.055343628,0.028640747,0.021362308,0.031799316,0.032073975
1.5606802399964E13,-0.01838684,0.041259766,0.03303528,0.021362308,0.031799316,0.032073975
1.5606807435365E13,-0.005783081,0.030853271,0.027496338,0.021362308,0.031799316,0.032073975
1.5606812470765E13,0.0034484863,0.02520752,0.018829346,0.021362308,0.031799316,0.032073975
1.5606817506165E13,0.0048828125,0.026245117,0.009414673,0.021362308,0.031799316,0.032073975
1.5606822541566E13,-0.0032653809,0.029510498,-0.0011444092,0.021362308,0.031799316,0.032073975
1.5606827576966E13,-0.023971558,0.034820557,-0.010681152,0.021362308,0.031799316,0.032073975
1.5606832612366E13,-0.057250977,0.0471344,-0.018371582,0.021362308,0.031799316,0.032073975
1.5606837647767E13,-0.09170532,0.062301636,-0.023330688,0.021362308,0.031799316,0.032073975
1.5606842683167E13,-0.117614746,0.07659912,-0.024276733,0.021362308,0.031799316,0.032073975
1.5606847718568E13,-0.13116455,0.08207703,-0.024276733,0.021362308,0.031799316,0.032073975
1.5606852753968E13,-0.13143921,0.074798584,-0.024276733,0.021362308,0.031799316,0.032073975
1.5606857789368E13,-0.124420166,0.05897522,-0.024276733,0.021362308,0.031799316,0.032073975
1.5606862824769E13,-0.11175537,0.036987305,-0.023376465,0.021362308,0.031799316,0.032073975
1.5606867860169E13,-0.09669495,0.015899658,-0.01576233,0.021362308,0.031799316,0.032073975
1.560687289557E13,-0.0834198,-0.0065460205,-0.003326416,0.021362308,0.031799316,0.032073975
1.560687793097E13,-0.07044983,-0.030212402,0.0077209473,0.021362308,0.031799316,0.032073975
1.560688296637E13,-0.066207886,-0.05206299,0.014663696,0.021362308,0.031799316,0.032073975
1.5606888001771E13,-0.07048035,-0.06225586,0.012512207,0.021362308,0.031799316,0.032073975
1.5606893037171E13,-0.08421326,-0.06661987,0.011047363,0.021362308,0.031799316,0.032073975
1.5606898072572E13,-0.101486206,-0.06378174,0.0079193115,0.021362308,0.031799316,0.032073975
1.5606903107972E13,-0.11878967,-0.05328369,0.0036315918,0.021362308,0.031799316,0.032073975
1.5606908143372E13,-0.1277008,-0.0393219,-0.0048828125,0.021362308,0.031799316,0.032073975
1.5606913178773E13,-0.1278534,-0.02633667,-0.018844604,0.021362308,0.031799316,0.032073975
1.5606918214173E13,-0.12182617,-0.014175415,-0.02999878,0.021362308,0.031799316,0.032073975
1.5606923249574E13,-0.110580444,-0.00819397,-0.04272461,0.021362308,0.031799316,0.032073975
1.5606928284974E13,-0.10334778,-0.012466431,-0.0546875,0.021362308,0.031799316,0.032073975
1.5606933320374E13,-0.10472107,-0.014678955,-0.06645203,0.021362308,0.031799316,0.032073975
1.5606938355775E13,-0.11149597,-0.017852783,-0.07597351,0.021362308,0.031799316,0.032073975
1.5606943391175E13,-0.12187195,-0.019836426,-0.08255005,0.021362308,0.031799316,0.032073975
1.5606948426575E13,-0.1267395,-0.019866943,-0.08947754,0.021362308,0.031799316,0.032073975
1.5606953461976E13,-0.123703,-0.02079773,-0.091674805,0.021362308,0.031799316,0.032073975
1.5606958497376E13,-0.11418152,-0.019561768,-0.09248352,0.021362308,0.031799316,0.032073975
1.5606963532777E13,-0.098587036,-0.017410278,-0.09126282,0.021362308,0.031799316,0.032073975
1.5606968568177E13,-0.08027649,-0.014892578,-0.08943176,0.021362308,0.031799316,0.032073975
1.5606973603577E13,-0.06439209,-0.0104522705,-0.08959961,0.021362308,0.031799316,0.032073975
1.5606978638978E13,-0.055725098,-0.0051574707,-0.09049988,0.021362308,0.031799316,0.032073975
1.5606983674378E13,-0.05052185,0.003479004,-0.0907135,0.021362308,0.031799316,0.032073975
1.5606988709779E13,-0.048355103,0.0134887695,-0.0922699,0.021362308,0.031799316,0.032073975
1.5606993745179E13,-0.046188354,0.02281189,-0.09526062,0.021362308,0.031799316,0.032073975
1.5606998780579E13,-0.044281006,0.025817871,-0.09768677,0.021362308,0.031799316,0.032073975
1.560700381598E13,-0.04194641,0.023223877,-0.100112915,0.021362308,0.031799316,0.032073975
1.560700885138E13,-0.035476685,0.014572144,-0.098968506,0.021362308,0.031799316,0.032073975
1.5607013886781E13,-0.027420044,-0.0028533936,-0.09259033,0.021362308,0.031799316,0.032073975
1.5607018922181E13,-0.021469116,-0.026641846,-0.08433533,0.021362308,0.031799316,0.032073975
1.5607023957581E13,-0.02168274,-0.050201416,-0.07495117,0.021362308,0.031799316,0.032073975
1.5607028992982E13,-0.027450562,-0.064697266,-0.067352295,0.021362308,0.031799316,0.032073975
1.5607034028382E13,-0.033813477,-0.06828308,-0.061706543,0.021362308,0.031799316,0.032073975
1.5607039063782E13,-0.038131714,-0.06617737,-0.057388306,0.021362308,0.031799316,0.032073975
1.5607044099183E13,-0.036132813,-0.064697266,-0.060195923,0.021362308,0.031799316,0.032073975
1.5607049134583E13,-0.028182983,-0.062194824,-0.06947327,0.021362308,0.031799316,0.032073975
1.5607054169984E13,-0.015426636,-0.054397583,-0.08135986,0.021362308,0.031799316,0.032073975
1.5607059205384E13,-0.0026855469,-0.044647217,-0.0914917,0.021362308,0.031799316,0.032073975
1.5607064240784E13,0.0069885254,-0.03691101,-0.09713745,0.021362308,0.031799316,0.032073975
1.5607069276185E13,0.012496948,-0.035888672,-0.09817505,0.021362308,0.031799316,0.032073975
1.5607074311585E13,0.010650635,-0.04499817,-0.09591675,0.021362308,0.031799316,0.032073975
1.5607079346986E13,0.0011444092,-0.056488037,-0.09477234,0.021362308,0.031799316,0.032073975
1.5607084382386E13,-0.011367798,-0.06782532,-0.09477234,0.021362308,0.031799316,0.032073975
1.5607089417786E13,-0.01676941,-0.080841064,-0.092041016,0.021362308,0.031799316,0.032073975
1.5607094453187E13,-0.0121154785,-0.09439087,-0.08735657,0.021362308,0.031799316,0.032073975
1.5607099488587E13,0.0035247803,-0.11009216,-0.08409119,0.021362308,0.031799316,0.032073975
1.5607104523988E13,0.031295776,-0.1251831,-0.08065796,0.021362308,0.031799316,0.032073975
1.5607109559388E13,0.0627594,-0.13638306,-0.07510376,0.021362308,0.031799316,0.032073975
1.5607114594788E13,0.09295654,-0.14738464,-0.06611633,0.021362308,0.031799316,0.032073975
1.5607119630189E13,0.11260986,-0.15864563,-0.0572052,0.021362308,0.031799316,0.032073975
1.5607124665589E13,0.11418152,-0.16720581,-0.049942017,0.021362308,0.031799316,0.032073975
